,lat,long,sm_plate_age,reconstruction_time,sm_length_km,sm_gradient,sm_slope
0,20.000001,-64,0.0,0,111.19508372419142,1.28,86.87115915952454
1,20.0,-63.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
2,19.000001,-63,0.0,0,111.19508372419142,1.28,86.87115915952454
3,19.000001,-62,0.0,0,111.19508372419142,1.28,86.87115915952454
4,19.000001,-61,0.0,0,111.19508372419142,1.28,86.87115915952454
5,19.0,-60.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
6,18.000001,-60,0.0,0,111.19508372419142,1.28,86.87115915952454
7,18.0,-59.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
8,17.0,-59.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
9,16.000001,-59,0.0,0,111.19508372419142,1.28,86.87115915952454
10,16.0,-58.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
11,15.000001000000001,-58,0.0,0,111.19508372419142,1.28,86.87115915952454
12,15.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
13,14.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
14,13.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
15,12.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
16,11.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
17,10.999999,-58,0.0,0,111.19508372419142,1.28,86.87115915952454
18,10.0,-58.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
19,9.0,-58.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
20,8.000001,-58,0.0,0,111.19508372419142,1.28,86.87115915952454
21,8.0,-57.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
22,-53.000001,-75,0.0,0,111.19508372419142,1.28,86.87115915952454
23,-53.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
24,-52.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
25,-51.000001,-76,0.0,0,111.19508372419142,1.28,86.87115915952454
26,-51.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
27,-50.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
28,-49.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
29,-48.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
30,-47.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
31,-46.999999,-76,0.0,0,111.19508372419142,1.28,86.87115915952454
32,-46.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
33,-45.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
34,-44.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
35,-43.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
36,-42.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
37,-41.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
38,-40.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
39,-39.999999,-75,0.0,0,111.19508372419142,1.28,86.87115915952454
40,-39.0,-74.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
41,-38.0,-74.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
42,-37.0,-74.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
43,-36.0,-74.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
44,-35.999999,-74,0.0,0,111.19508372419142,1.28,86.87115915952454
45,-35.0,-73.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
46,-34.0,-73.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
47,-33.999999,-73,0.0,0,111.19508372419142,1.28,86.87115915952454
48,-33.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
49,-32.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
50,-31.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
51,-30.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
52,-29.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
53,-28.999999,-72,0.0,0,111.19508372419142,1.28,86.87115915952454
54,-28.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
55,-27.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
56,-26.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
57,-25.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
58,-24.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
59,-23.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
60,-22.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
61,-21.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
62,-20.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
63,-19.0,-71.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
64,-18.000001,-72,0.0,0,111.19508372419142,1.28,86.87115915952454
65,-18.0,-72.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
66,-17.000001,-73,0.0,0,111.19508372419142,1.28,86.87115915952454
67,-17.000001,-74,0.0,0,111.19508372419142,1.28,86.87115915952454
68,-17.0,-74.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
69,-16.000001,-75,0.0,0,111.19508372419142,1.28,86.87115915952454
70,-16.0,-75.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
71,-15.000001000000001,-76,0.0,0,111.19508372419142,1.28,86.87115915952454
72,-15.0,-76.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
73,-14.000001000000001,-77,0.0,0,111.19508372419142,1.28,86.87115915952454
74,-14.0,-77.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
75,-13.000001,-78,0.0,0,111.19508372419142,1.28,86.87115915952454
76,-13.0,-78.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
77,-12.000001,-79,0.0,0,111.19508372419142,1.28,86.87115915952454
78,-12.0,-79.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
79,-11.0,-79.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
80,-10.000001,-80,0.0,0,111.19508372419142,1.28,86.87115915952454
81,-10.0,-80.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
82,-9.0,-80.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
83,-8.000001,-81,0.0,0,111.19508372419142,1.28,86.87115915952454
84,-8.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
85,-7.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
86,-6.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
87,-5.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
88,-4.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
89,-3.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
90,-2.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
91,-1.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
92,-0.9999990000010001,-81,0.0,0,111.19508372419142,1.28,86.87115915952454
93,0.0,-80.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
94,1.0,-80.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
95,2.0,-80.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
96,2.0000009999999997,-80,0.0,0,111.19508372419142,1.28,86.87115915952454
97,3.0,-79.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
98,3.0000009999999997,-79,0.0,0,111.19508372419142,1.28,86.87115915952454
99,4.0,-78.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
100,5.0,-78.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
101,6.0,-78.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
102,7.0,-78.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
103,7.999999000000001,-79,0.0,0,111.19508372419142,1.28,86.87115915952454
104,7.999999000000001,-80,0.0,0,111.19508372419142,1.28,86.87115915952454
105,7.0,-80.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
106,6.999999000000001,-81,0.0,0,111.19508372419142,1.28,86.87115915952454
107,7.0,-81.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
108,7.999999000000001,-82,0.0,0,111.19508372419142,1.28,86.87115915952454
109,7.999999000000001,-83,0.0,0,111.19508372419142,1.28,86.87115915952454
110,8.0,-83.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
111,8.999999,-84,0.0,0,111.19508372419142,1.28,86.87115915952454
112,9.0,-84.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
113,9.999999,-85,0.0,0,111.19508372419142,1.28,86.87115915952454
114,9.999999,-86,0.0,0,111.19508372419142,1.28,86.87115915952454
115,10.0,-86.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
116,10.999999,-87,0.0,0,111.19508372419142,1.28,86.87115915952454
117,11.0,-87.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
118,11.999999,-88,0.0,0,111.19508372419142,1.28,86.87115915952454
119,11.999999,-89,0.0,0,111.19508372419142,1.28,86.87115915952454
120,12.0,-89.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
121,12.999999,-90,0.0,0,111.19508372419142,1.28,86.87115915952454
122,12.999999,-91,0.0,0,111.19508372419142,1.28,86.87115915952454
123,13.0,-91.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
124,13.999998999999999,-92,0.0,0,111.19508372419142,1.28,86.87115915952454
125,13.999998999999999,-93,0.0,0,111.19508372419142,1.28,86.87115915952454
126,14.0,-93.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
127,14.999998999999999,-94,0.0,0,111.19508372419142,1.28,86.87115915952454
128,14.999998999999999,-95,0.0,0,111.19508372419142,1.28,86.87115915952454
129,15.0,-95.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
130,15.999998999999999,-96,0.0,0,111.19508372419142,1.28,86.87115915952454
131,15.999998999999999,-97,0.0,0,111.19508372419142,1.28,86.87115915952454
132,15.999998999999999,-98,0.0,0,111.19508372419142,1.28,86.87115915952454
133,15.999998999999999,-99,0.0,0,111.19508372419142,1.28,86.87115915952454
134,16.0,-99.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
135,16.999999,-100,0.0,0,111.19508372419142,1.28,86.87115915952454
136,16.999999,-101,0.0,0,111.19508372419142,1.28,86.87115915952454
137,16.999999,-102,0.0,0,111.19508372419142,1.28,86.87115915952454
138,17.0,-102.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
139,17.999999,-103,0.0,0,111.19508372419142,1.28,86.87115915952454
140,17.999999,-104,0.0,0,111.19508372419142,1.28,86.87115915952454
141,18.0,-104.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
142,18.999999,-105,0.0,0,111.19508372419142,1.28,86.87115915952454
143,19.0,-105.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
144,19.999999,-106,0.0,0,111.19508372419142,1.28,86.87115915952454
145,20.0,-106.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
146,21.0,-106.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
147,21.999999,-107,0.0,0,111.19508372419142,1.28,86.87115915952454
148,22.0,-107.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
149,23.0,-107.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
150,23.999999,-108,0.0,0,111.19508372419142,1.28,86.87115915952454
151,37.999999,-123,0.0,0,111.19508372419142,1.28,86.87115915952454
152,38.0,-123.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
153,38.999999,-124,0.0,0,111.19508372419142,1.28,86.87115915952454
154,39.0,-124.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
155,40.0,-124.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
156,40.999999,-125,0.0,0,111.19508372419142,1.28,86.87115915952454
157,41.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
158,42.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
159,43.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
160,44.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
161,45.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
162,46.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
163,47.0,-125.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
164,47.999999,-126,0.0,0,111.19508372419142,1.28,86.87115915952454
165,48.0,-126.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
166,48.999999,-127,0.0,0,111.19508372419142,1.28,86.87115915952454
167,49.0,-127.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
168,49.999999,-128,0.0,0,111.19508372419142,1.28,86.87115915952454
169,50.0,-128.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
170,50.999999,-129,0.0,0,111.19508372419142,1.28,86.87115915952454
171,50.999999,-130,0.0,0,111.19508372419142,1.28,86.87115915952454
172,51.0,-130.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
173,51.999999,-131,0.0,0,111.19508372419142,1.28,86.87115915952454
174,52.0,-131.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
175,52.999999,-132,0.0,0,111.19508372419142,1.28,86.87115915952454
176,53.0,-132.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
177,53.999999,-133,0.0,0,111.19508372419142,1.28,86.87115915952454
178,58.999999,-140,0.0,0,111.19508372419142,1.28,86.87115915952454
179,58.999999,-141,0.0,0,111.19508372419142,1.28,86.87115915952454
180,58.999999,-142,0.0,0,111.19508372419142,1.28,86.87115915952454
181,58.999999,-143,0.0,0,111.19508372419142,1.28,86.87115915952454
182,59.0,-143.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
183,59.999999,-144,0.0,0,111.19508372419142,1.28,86.87115915952454
184,59.0,-144.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
185,58.999999,-145,0.0,0,111.19508372419142,1.28,86.87115915952454
186,58.999999,-146,0.0,0,111.19508372419142,1.28,86.87115915952454
187,58.0,-146.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
188,57.999999,-147,0.0,0,111.19508372419142,1.28,86.87115915952454
189,57.999999,-148,0.0,0,111.19508372419142,1.28,86.87115915952454
190,57.0,-148.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
191,56.999999,-149,0.0,0,111.19508372419142,1.28,86.87115915952454
192,56.999999,-150,0.0,0,111.19508372419142,1.28,86.87115915952454
193,56.0,-150.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
194,55.999999,-151,0.0,0,111.19508372419142,1.28,86.87115915952454
195,55.999999,-152,0.0,0,111.19508372419142,1.28,86.87115915952454
196,55.999999,-153,0.0,0,111.19508372419142,1.28,86.87115915952454
197,55.0,-153.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
198,54.999999,-154,0.0,0,111.19508372419142,1.28,86.87115915952454
199,54.999999,-155,0.0,0,111.19508372419142,1.28,86.87115915952454
200,54.999999,-156,0.0,0,111.19508372419142,1.28,86.87115915952454
201,54.999999,-157,0.0,0,111.19508372419142,1.28,86.87115915952454
202,55.0,-157.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
203,55.999999,-158,0.0,0,111.19508372419142,1.28,86.87115915952454
204,55.0,-158.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
205,54.999999,-159,0.0,0,111.19508372419142,1.28,86.87115915952454
206,54.999999,-160,0.0,0,111.19508372419142,1.28,86.87115915952454
207,54.999999,-161,0.0,0,111.19508372419142,1.28,86.87115915952454
208,54.999999,-162,0.0,0,111.19508372419142,1.28,86.87115915952454
209,54.0,-162.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
210,53.999999,-163,0.0,0,111.19508372419142,1.28,86.87115915952454
211,53.999999,-164,0.0,0,111.19508372419142,1.28,86.87115915952454
212,53.999999,-165,0.0,0,111.19508372419142,1.28,86.87115915952454
213,53.0,-165.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
214,52.999999,-166,0.0,0,111.19508372419142,1.28,86.87115915952454
215,52.999999,-167,0.0,0,111.19508372419142,1.28,86.87115915952454
216,52.999999,-168,0.0,0,111.19508372419142,1.28,86.87115915952454
217,52.999999,-169,0.0,0,111.19508372419142,1.28,86.87115915952454
218,52.0,-169.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
219,51.999999,-170,0.0,0,111.19508372419142,1.28,86.87115915952454
220,51.999999,-171,0.0,0,111.19508372419142,1.28,86.87115915952454
221,51.0,-171.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
222,50.999999,-172,0.0,0,111.19508372419142,1.28,86.87115915952454
223,50.999999,-173,0.0,0,111.19508372419142,1.28,86.87115915952454
224,50.999999,-174,0.0,0,111.19508372419142,1.28,86.87115915952454
225,50.999999,-175,0.0,0,111.19508372419142,1.28,86.87115915952454
226,50.999999,-176,0.0,0,111.19508372419142,1.28,86.87115915952454
227,50.999999,-177,0.0,0,111.19508372419142,1.28,86.87115915952454
228,50.999999,-178,0.0,0,111.19508372419142,1.28,86.87115915952454
229,50.999999,-179,0.0,0,111.19508372419142,1.28,86.87115915952454
230,51.0,-179.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
231,51.999999,180,0.0,0,111.19508372419142,1.28,86.87115915952454
232,51.0,179.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
233,50.999999,179,0.0,0,111.19508372419142,1.28,86.87115915952454
234,50.999999,178,0.0,0,111.19508372419142,1.28,86.87115915952454
235,50.999999,177,0.0,0,111.19508372419142,1.28,86.87115915952454
236,50.999999,176,0.0,0,111.19508372419142,1.28,86.87115915952454
237,50.999999,175,0.0,0,111.19508372419142,1.28,86.87115915952454
238,51.0,174.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
239,51.999999,174,0.0,0,111.19508372419142,1.28,86.87115915952454
240,51.999999,173,0.0,0,111.19508372419142,1.28,86.87115915952454
241,51.999999,172,0.0,0,111.19508372419142,1.28,86.87115915952454
242,52.0,171.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
243,52.999999,171,0.0,0,111.19508372419142,1.28,86.87115915952454
244,52.999999,170,0.0,0,111.19508372419142,1.28,86.87115915952454
245,53.0,169.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
246,53.999999,169,0.0,0,111.19508372419142,1.28,86.87115915952454
247,53.999999,168,0.0,0,111.19508372419142,1.28,86.87115915952454
248,54.0,167.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
249,54.999999,167,0.0,0,111.19508372419142,1.28,86.87115915952454
250,54.999999,166,0.0,0,111.19508372419142,1.28,86.87115915952454
251,55.0,165.999999,0.0,0,111.19508372419142,1.28,86.87115915952454
252,55.999999,165,0.0,0,111.19508372419142,1.28,86.87115915952454
253,55.0,164.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
254,54.999999,164,0.0,0,111.19508372419142,1.28,86.87115915952454
255,54.0,163.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
256,53.999999,163,0.0,0,111.19508372419142,1.28,86.87115915952454
257,53.0,162.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
258,52.999999,162,0.0,0,111.19508372419142,1.28,86.87115915952454
259,52.999999,161,0.0,0,111.19508372419142,1.28,86.87115915952454
260,52.0,160.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
261,51.999999,160,0.0,0,111.19508372419142,1.28,86.87115915952454
262,51.0,159.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
263,50.999999,159,0.0,0,111.19508372419142,1.28,86.87115915952454
264,50.0,158.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
265,49.999999,158,0.0,0,111.19508372419142,1.28,86.87115915952454
266,49.0,157.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
267,48.999999,157,0.0,0,111.19508372419142,1.28,86.87115915952454
268,48.999999,156,0.0,0,111.19508372419142,1.28,86.87115915952454
269,48.0,155.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
270,47.999999,155,0.0,0,111.19508372419142,1.28,86.87115915952454
271,47.0,154.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
272,46.999999,154,0.0,0,111.19508372419142,1.28,86.87115915952454
273,46.0,153.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
274,45.999999,153,0.0,0,111.19508372419142,1.28,86.87115915952454
275,45.999999,152,0.0,0,111.19508372419142,1.28,86.87115915952454
276,45.0,151.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
277,44.999999,151,0.0,0,111.19508372419142,1.28,86.87115915952454
278,44.999999,150,0.0,0,111.19508372419142,1.28,86.87115915952454
279,44.0,149.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
280,43.999999,149,0.0,0,111.19508372419142,1.28,86.87115915952454
281,43.999999,148,0.0,0,111.19508372419142,1.28,86.87115915952454
282,43.0,147.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
283,42.999999,147,0.0,0,111.19508372419142,1.28,86.87115915952454
284,42.999999,146,0.0,0,111.19508372419142,1.28,86.87115915952454
285,42.0,145.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
286,41.999999,145,0.0,0,111.19508372419142,1.28,86.87115915952454
287,41.999999,144,0.0,0,111.19508372419142,1.28,86.87115915952454
288,41.0,143.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
289,40.0,143.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
290,39.0,143.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
291,38.0,143.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
292,37.999999,143,0.0,0,111.19508372419142,1.28,86.87115915952454
293,37.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
294,36.999999,142,0.0,0,111.19508372419142,1.28,86.87115915952454
295,36.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
296,35.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
297,34.999999,141,0.0,0,111.19508372419142,1.28,86.87115915952454
298,34.0,140.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
299,33.000001,141,0.0,0,111.19508372419142,1.28,86.87115915952454
300,33.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
301,32.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
302,31.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
303,30.0,141.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
304,29.000001,142,0.0,0,111.19508372419142,1.28,86.87115915952454
305,29.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
306,28.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
307,27.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
308,26.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
309,25.0,142.000001,0.0,0,111.19508372419142,1.28,86.87115915952454
